product_id,product_name,product_price,aisle_id,department_id
33957,Mexican Casserole Bowl,6.88,38,1
34358,Garlic,9.72,83,4
34940,Chicken Flavor Top Ramen Noodles,5.06,66,6
35385,Vanilla Caramel Coffee Creamer,3.7,53,16
35507,Pure Life Purified Water,6.28,115,7
36144,Smoked Turkey Breast,9.14,96,20
36216,Lime Italian Sparkling Mineral Water,3.54,115,7
36543,Bars Peanut Butter,7.01,88,13
36550,Organic Extra Large Grade AA Brown Eggs,1.43,86,16
36591,100% Whole Wheat Medium Soft Taco Flour Tortillas,5.84,128,3
36695,Organic Hothouse Cucumbers,3.34,83,4
37434,Coconut Oil Cooking Spray,9.24,19,13
37645,Original Flavor Bean Dip,8.03,51,13
37947,Organic Peach Lowfat Yogurt,1.64,120,16
37999,Antioxidant Infusions Ipanema Pomegranate Beverage,7.28,31,7
38154,Original Sour Cream,5.27,108,16
38273,Marinara Pasta Sauce,3.52,9,9
38277,Dairy Free Vanilla Coconut Milk,7.15,91,16
38547,Bubblegum Flavor Natural Chewing Gum,1.85,46,19
38928,0% Greek Strained Yogurt,9.27,120,16
38988,White English Muffins,8.95,93,3
39170,Oatmeal Crème Pies,8.22,61,19
39275,Organic Blueberries,3.5,123,4
39657,Milk Chocolate Almonds,4.96,45,19
39803,Original 0 Calorie Sweetener Packets 115 Count,4.98,17,13
40571,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,4.9,120,16
40706,Organic Grape Tomatoes,9.85,123,4
40852,Lactose Free Fat Free Milk,8.16,91,16
41065,Organic Yellow Squash,5.59,83,4
41238,Parmesan Couscous Mix,3.49,4,9
41259,Poblano Pepper,3.32,83,4
41302,Honey Barbecue Sauce,7.43,5,13
41540,Organic Whole White Mushrooms,8.11,83,4
41787,Bartlett Pears,8.58,24,4
41844,Honey Nut Cheerios,1.76,121,14
41950,Organic Tomato Cluster,4.31,83,4
42258,Eagle Brand Sweetened Condensed Milk,7.23,17,13
42347,Caffeine Free Diet Cola All Natural Soda,3.01,77,7
42372,Pineapple on the Bottom Greek Yogurt,4.15,120,16
42431,Cinnabon Cinnamon Rolls With Icing,8.52,105,13
42828,Whipped Cream Cheese,1.73,108,16
42987,Krinkle Cut Salt & Fresh Ground Pepper Potato Chips,4.07,107,19
43014,Sliced Baby Bella Mushrooms,1.18,123,4
43352,Raspberries,2.42,32,4
43504,Organic Chicken Strips,8.78,34,1
43961,Organic Peeled Whole Baby Carrots,9.46,123,4
43967,Raspberry Lemonade,3.98,31,7
44632,Sparkling Water Grapefruit,3.94,115,7
44636,Organic Cameo Apple,1.14,24,4
44932,Forest Berry Natural Lowfat Yogurt,8.11,120,16
45007,Organic Zucchini,6.91,83,4
45066,Honeycrisp Apple,6.57,24,4
45446,"Yogurt, Organic, Lowfat, Strawberry",2.93,120,16
45613,Pad Thai,8.99,38,1
46149,Zero Calorie Cola,9.98,77,7
46480,Macaroni & Cheese Deluxe Four Cheese Sauce Dinner,1.44,4,9
46676,Total 0% Nonfat Greek Yogurt,7.64,120,16
46906,Grape White/Green Seedless,1.41,24,4
46981,Deluxe Beef Stroganoff Hamburger Helper,2.75,4,9
47144,Unsweetened Original Almond Breeze Almond Milk,5.46,91,16
47209,Organic Hass Avocado,4.08,24,4
47272,Antioxidant Infusions Beverage Malawi Mango,4.58,31,7
47546,Chocolate Coconut Milk Beverage,4.7,91,16
47766,Organic Avocado,9.34,24,4
48204,Tamari Gluten Free Soy Sauce,5.69,66,6
48205,Spinach,9.31,123,4
48230,Soft Taco Size White Flour Tortillas,8.49,128,3
48523,Birthday Cake Light Ice Cream,6.17,37,1
48800,Caramel Cone Ice Cream,1.02,37,1
49235,Organic Half & Half,2.16,53,16
49306,Original Mountain Blueberry Low Fat Yogurt,5.03,120,16
49481,Original Barbecue Sauce,9.76,5,13
49615,Cran-Apple Juice Drink,9.77,98,7
